city,state,period,good,satisfactory,moderate,poor,very_poor,severe,days_with_data
Moradabad,Uttar Pradesh,FY2024-25,72,134,156,1,1,0,364
Moradabad,Uttar Pradesh,FY2025-26,13,197,150,5,0,0,365
Motihari,Bihar,FY2024-25,44,106,109,27,0,0,286
Motihari,Bihar,FY2025-26,45,142,90,8,0,0,285
Mumbai,Maharashtra,FY2024-25,82,123,157,2,0,0,364
Mumbai,Maharashtra,FY2025-26,58,189,117,1,0,0,365
Munger,Bihar,FY2024-25,46,80,148,37,2,0,313
Munger,Bihar,FY2025-26,124,115,84,6,0,0,329
Muzaffarnagar,Uttar Pradesh,FY2024-25,16,87,157,84,9,0,353
Muzaffarnagar,Uttar Pradesh,FY2025-26,18,104,121,86,25,0,354
Muzaffarpur,Bihar,FY2024-25,31,107,138,83,5,0,364
Muzaffarpur,Bihar,FY2025-26,61,158,145,1,0,0,365
Mysuru,Karnataka,FY2024-25,197,138,0,0,0,0,335
Mysuru,Karnataka,FY2025-26,179,162,9,0,0,0,350
Nagaon,Assam,FY2024-25,93,138,87,19,0,0,337
Nagaon,Assam,FY2025-26,58,170,89,2,0,0,319
Nagaur,Rajasthan,FY2024-25,27,87,194,37,5,0,350
Nagaur,Rajasthan,FY2025-26,25,103,192,34,3,0,357
Nagpur,Maharashtra,FY2024-25,72,128,147,17,0,0,364
Nagpur,Maharashtra,FY2025-26,90,114,146,15,0,0,365
Naharlagun,Arunachal Pradesh,FY2024-25,109,69,29,0,0,0,207
Naharlagun,Arunachal Pradesh,FY2025-26,104,59,83,13,0,0,259
Nalbari,Assam,FY2024-25,41,123,96,44,4,0,308
Nalbari,Assam,FY2025-26,73,111,114,4,1,0,303
Nanded,Maharashtra,FY2024-25,76,81,146,14,0,0,317
Nanded,Maharashtra,FY2025-26,67,156,95,12,0,0,330
Nashik,Maharashtra,FY2024-25,92,135,131,6,0,0,364
Nashik,Maharashtra,FY2025-26,85,170,110,0,0,0,365
Navi Mumbai,Maharashtra,FY2024-25,61,103,200,0,0,0,364
Navi Mumbai,Maharashtra,FY2025-26,97,139,129,0,0,0,365
Nayagarh,Odisha,FY2024-25,89,82,96,21,1,0,289
Nayagarh,Odisha,FY2025-26,132,110,67,4,0,0,313
Noida,Uttar Pradesh,FY2024-25,11,82,146,100,24,1,364
Noida,Uttar Pradesh,FY2025-26,7,69,144,64,65,16,365
Pali,Rajasthan,FY2024-25,8,72,233,21,9,0,343
Pali,Rajasthan,FY2025-26,10,97,227,19,3,0,356
Panchgaon,Haryana,FY2025-26,62,158,85,14,2,0,321
Parbhani,Maharashtra,FY2024-25,34,93,126,23,3,0,279
Parbhani,Maharashtra,FY2025-26,47,121,83,8,0,0,259
Patiala,Punjab,FY2024-25,61,145,134,19,0,0,359
Patiala,Punjab,FY2025-26,80,104,159,7,0,0,350
Patna,Bihar,FY2024-25,9,87,127,132,9,0,364
Patna,Bihar,FY2025-26,10,143,202,10,0,0,365
Pimpri-Chinchwad,Maharashtra,FY2024-25,97,93,148,26,0,0,364
Pimpri-Chinchwad,Maharashtra,FY2025-26,56,161,126,22,0,0,365
Pithampur,Madhya Pradesh,FY2024-25,21,118,192,31,2,0,364
Pithampur,Madhya Pradesh,FY2025-26,23,113,167,47,1,0,351
Pratapgarh,Rajasthan,FY2024-25,55,174,116,8,0,0,353
Pratapgarh,Rajasthan,FY2025-26,53,158,142,5,0,0,358
Prayagraj,Uttar Pradesh,FY2024-25,120,182,60,1,0,0,363
Prayagraj,Uttar Pradesh,FY2025-26,73,164,120,8,0,0,365
Puducherry,Puducherry,FY2024-25,181,147,19,0,0,0,347
Puducherry,Puducherry,FY2025-26,177,98,36,2,0,0,313
Pudukottai,Tamil Nadu,FY2024-25,44,66,25,1,0,0,136
Pudukottai,Tamil Nadu,FY2025-26,171,65,27,1,0,0,264
Pune,Maharashtra,FY2024-25,54,122,185,3,0,0,364
